date,close,regime,p_bull,exposure,ret,equity,trade
2025-02-18,606.1784,BULL,0.99962,1.0,0.002936,1039560.57,HOLD
2025-02-19,607.6059,BULL,0.999636,1.0,0.002355,1042008.63,HOLD
2025-02-20,605.0781,BULL,0.999566,1.0,-0.00416,1037673.55,HOLD
2025-02-21,594.7288,BULL,0.994603,1.0,-0.017104,1019925.1,HOLD
2025-02-24,592.0225,BULL,0.999174,1.0,-0.00455,1015283.96,HOLD
2025-02-25,589.0782,BULL,0.99944,1.0,-0.004973,1010234.81,HOLD
2025-02-26,589.3757,BULL,0.99963,1.0,0.000505,1010744.88,HOLD
2025-02-27,579.9681,BULL,0.996294,1.0,-0.015962,994611.41,HOLD
2025-02-28,589.0187,BULL,0.996209,1.0,0.015605,1010132.76,HOLD
2025-03-03,578.6992,BULL,0.984745,1.0,-0.01752,992435.28,HOLD
2025-03-04,571.8492,BULL,0.991253,1.0,-0.011837,980687.97,HOLD
2025-03-05,577.9954,BULL,0.995743,1.0,0.010748,991228.1,HOLD
2025-03-06,567.7353,BULL,0.964653,1.0,-0.017751,973632.58,HOLD
2025-03-07,570.9174,BULL,0.990299,1.0,0.005605,979089.64,HOLD
2025-03-10,555.7107,BEAR,0.155481,0.0,-0.026635,979089.64,SELL
2025-03-11,551.0911,BEAR,0.131975,0.0,-0.008313,979089.64,HOLD
2025-03-12,554.0155,BEAR,0.204497,0.0,0.005307,979089.64,HOLD
2025-03-13,546.6302,BEAR,0.066084,0.0,-0.013331,979089.64,HOLD
2025-03-14,557.9213,BEAR,0.001383,0.0,0.020656,979089.64,HOLD
2025-03-17,562.2236,BEAR,0.004249,0.0,0.007711,979089.64,HOLD
2025-03-18,556.1469,BEAR,0.001839,0.0,-0.010808,979089.64,HOLD
2025-03-19,562.2038,BEAR,0.001642,0.0,0.010891,979089.64,HOLD
2025-03-20,560.578,BEAR,0.003049,0.0,-0.002892,979089.64,HOLD
2025-03-21,560.7629,BEAR,0.003643,0.0,0.00033,979089.64,HOLD
2025-03-24,570.8054,BEAR,0.000247,0.0,0.017908,979089.64,HOLD
2025-03-25,572.1775,BEAR,0.001579,0.0,0.002404,979089.64,HOLD
2025-03-26,565.3467,BEAR,0.000307,0.0,-0.011938,979089.64,HOLD
2025-03-27,563.8453,BEAR,0.001053,0.0,-0.002656,979089.64,HOLD
2025-03-28,552.4904,BEAR,2e-05,0.0,-0.020138,979089.64,HOLD
2025-03-31,556.1992,BEAR,0.001343,0.0,0.006713,979089.64,HOLD
2025-04-01,557.7701,BEAR,0.003298,0.0,0.002824,979089.64,HOLD
2025-04-02,561.2999,BEAR,0.00366,0.0,0.006328,979089.64,HOLD
2025-04-03,533.6386,BEAR,0.0,0.0,-0.049281,979089.64,HOLD
2025-04-04,502.3978,BEAR,0.0,0.0,-0.058543,979089.64,HOLD
2025-04-07,501.5029,BEAR,0.0,0.0,-0.001781,979089.64,HOLD
2025-04-08,493.648,BEAR,0.0,0.0,-0.015663,979089.64,HOLD
2025-04-09,545.4906,BEAR,0.0,0.0,0.105019,979089.64,HOLD
2025-04-10,521.5878,BEAR,0.0,0.0,-0.043819,979089.64,HOLD
2025-04-11,530.8943,BEAR,0.0,0.0,0.017843,979089.64,HOLD
2025-04-14,536.0447,BEAR,0.0,0.0,0.009701,979089.64,HOLD
2025-04-15,534.5433,BEAR,0.0,0.0,-0.002801,979089.64,HOLD
2025-04-16,522.6615,BEAR,0.0,0.0,-0.022228,979089.64,HOLD
2025-04-17,523.4072,BEAR,0.0,0.0,0.001427,979089.64,HOLD
2025-04-21,510.9487,BEAR,0.0,0.0,-0.023803,979089.64,HOLD
2025-04-22,524.2425,BEAR,0.0,0.0,0.026018,979089.64,HOLD
2025-04-23,532.3658,BEAR,0.0,0.0,0.015495,979089.64,HOLD
2025-04-24,543.5716,BEAR,0.0,0.0,0.021049,979089.64,HOLD
2025-04-25,547.499,BEAR,0.0,0.0,0.007225,979089.64,HOLD
2025-04-28,547.7078,BEAR,0.0,0.0,0.000381,979089.64,HOLD
2025-04-29,551.158,BEAR,0.0,0.0,0.006299,979089.64,HOLD
2025-04-30,551.3768,BEAR,0.0,0.0,0.000397,979089.64,HOLD
