date,swan_ret_overlay,swan_equity_overlay,regime,p_bull,swan_ret_bh,swan_equity_bh,spy_ret_bh,spy_equity_bh
2025-08-06,0.005682,1076328.771866,BULL,0.999500,0.007103,1154017.572143,0.007660,1086131.241473
2025-08-07,-0.005228,1070701.688793,BULL,0.999600,-0.006535,1146476.018721,-0.000838,1085221.475068
2025-08-08,0.001285,1072077.319942,BULL,0.999500,0.001606,1148317.250667,0.007798,1093683.563284
2025-08-11,-0.000016,1072060.168508,BULL,0.999600,-0.000020,1148294.286736,-0.001977,1091520.819521
2025-08-12,0.007276,1079860.033028,BULL,0.999200,0.009094,1158737.427112,0.010646,1103141.246907
2025-08-13,0.005655,1085966.346556,BULL,0.999600,0.007068,1166927.856671,0.003423,1106917.407813
2025-08-14,0.003258,1089503.911832,BULL,0.999600,0.004072,1171679.481202,0.000093,1107020.360593
2025-08-15,0.000438,1089980.616986,BULL,0.999600,0.000547,1172320.306858,-0.002341,1104428.576876
2025-08-18,0.000215,1090214.812175,BULL,0.999600,0.000269,1172635.165411,-0.000218,1104188.213651
2025-08-19,-0.006002,1083670.943552,BULL,0.999500,-0.007503,1163836.933196,-0.005425,1098197.832592
2025-08-20,0.001709,1085523.372791,BULL,0.999600,0.002137,1166323.764620,-0.002657,1095279.856648
2025-08-21,-0.002004,1083347.663054,BULL,0.999600,-0.002505,1163401.692609,-0.004012,1090885.768953
2025-08-22,0.009332,1093457.789684,BULL,0.997900,0.011665,1176973.211286,0.015357,1107638.287383
2025-08-25,-0.003210,1089947.877578,BULL,0.999400,-0.004012,1172250.723869,-0.004401,1102763.473236
2025-08-26,0.005009,1095407.816787,BULL,0.999500,0.006262,1179591.003414,0.004187,1107380.800378
2025-08-27,0.002519,1098167.442543,BULL,0.999600,0.003149,1183305.635610,0.002279,1109903.983926
2025-08-28,0.013624,1113129.192573,BULL,0.999600,0.017030,1203457.757276,0.003541,1113834.574002
2025-08-29,-0.004351,1108286.488820,BULL,0.999400,-0.005438,1196913.155988,-0.005964,1107192.018596
2025-09-02,-0.006291,1101313.868609,BULL,0.999400,-0.007864,1187500.403795,-0.007410,1098987.417384
2025-09-03,0.003302,1104950.441744,BULL,0.999600,0.004128,1192401.858536,0.005420,1104943.445832
2025-09-04,0.005243,1110743.871974,BULL,0.999400,0.006554,1200216.798366,0.008357,1114177.890008
2025-09-05,-0.001282,1109320.436558,BULL,0.999600,-0.001602,1198294.177926,-0.002896,1110950.950669
2025-09-08,0.001375,1110845.563488,BULL,0.999600,0.001719,1200353.491291,0.002457,1113680.144831
2025-09-09,0.001643,1112670.515661,BULL,0.999600,0.002054,1202818.491584,0.002312,1116254.804769
2025-09-10,0.015709,1130149.950995,BULL,0.999600,0.019637,1226438.003994,0.002891,1119481.744108
